content,score
"Semakin update, edlink malah semakin lelet, dari buka aplikasi sering gangguan, terus buka kelas lambat banget, download sama upload file sering gangguan dan error",negative
"Mohon segera diperbaiki admin untuk software nya, karena menyakut tugas"" materi diberikan kepada mahasiswa, kalau eror gini gimana untuk pembelajaran nnyaa...",negative
"Tolong ini edlink makin ada update makin tidak jelas, file yg dikirim dosen selalu tidak bisa terbuka dan kenapa file setiap mau dibuka harus download ulang dan sering tidak tersimpan. Tolong diperbaiki ini karena sangat menyusahkan perkuliahan kami",negative
Data nya malah hilang setelah di-update,negative
"Apk ribet upload tugas gak ketemu padahal jelas2 ada di folder gak jelas banget,terus update juga perlu ruang sangat besar apk cacat,ribet, ukuran besar pula ngga banget pokoknya.",negative
"Gara"" Nie aplikasi suka alpha aku kalo kuliah padahal aku hadir",negative
Sangat bagus kinerja aplikasi ini❤️ Saya sangat suka,positive
Tidak dapat sign up,negative
"Saya mau bertanya, setelah melakukan pembaharuan ada info izinkan audio dan video, apakah fungsi tersebut dapat merekam ucapan dan aktivitas kita pada saat pengerjaan?. Tolong penjelasannya",negative
Aplikasi gajelas makin di update makin gk bisa digunain,negative
"Kemarin update udah 3 kali masih kurang bagus aplikasinya, pas update ke 4 kalinya, baru baguss aplikasinya 😊",positive
👍,positive
"Kak, download filenya skarang kok ga langsung masuk di edlink file ya. Bisa terdownload dan dibuka tapi tempat filenya ga speri sebelumnya. Mohon diperbaiki ya",negative
"Hallo Hallo, Kenapa saya baru Update ini Apk, File yang pernah saya download menghilang semua ya?? Kejadian ini juga di alami beberapa teman saya juga. Edit: Mau tidak mau saya download ulang, untungnya file yang di uplod masih bisa di download lg.",positive
"Kok update terus ya ,, klaw gini terus bisa² eror",positive
"Lag, uploud file lama kali, storage sikit (pelit bet), makin rusak ni app",negative
Setelah di update aplikasinya error trus susah kirim tugas juga 😭,negative
Bagus si,positive
Lelet banget,negative
Kenapa edlink saya tidak bisa memutar video yang di berikan oleh dosen saya. Setiap saya klik ada kesalahan dalam pemutar video. Padahal dosen saya mengirim perkuliahan lewat video.,negative
Kalau ada notifikasi pasti selalu nge-vibrate. Itu gimana matiinnya ya? Makan tuh bintang 1.,negative
Menyenangkan,positive
manatap,positive
Knapa g bisa di download ya,negative
Mantap,positive
Aplikasi abal abal cap gomeh,negative
Sanggat baik,positive
Selalu error,negative
Sangat bagus,positive
Yg versi lama bisa upload tugas file pdf.. Di versi yang sekarang kok file nya ga ad yah??? Ga kebaca gitu,negative
Baik,positive
Alhamdulillah sangat membantu sekali...,negative
Mau bertanya untuk mengubah penyimpanan yg telah di unduh dimana ya?,negative
"Mempermudah PJJ serta mengefektifkan pengawasan terhadap keaktifan para mahasiswa, terimakasih EdLink",positive
Mantap,positive
Mantap,positive
"Aplikasi kurang membantu, updead teruss sehingga membuat hp error dan tidak kondusif",negative
"Saya update udah 3 hari, tapi ga bisa terus. Di coba berulang ulang tapi tetep ga bisa. Tolong dong jangan mempersulit orang. Jadi kan kita jugak bisa ikut kelas karna ga bisa buka edlink nya",negative
Mohon di perbaiki edlinknya,negative
Ikuti data sesuai,positive
Sudah ngirim tugas 4hari sebelum tenggat waktu pas diliat lagi waktu saat tenggat waktunya abis file nya gk ada gk kekirim file nya alhasil saya gk dapet nilai...... mantap edlink aplikasi terbaik,negative
"Gak asik nih, sedikit2 harus di perbarui, padahal kan pas mau ngumpulin tugas mana waktunya udah mepet eh ini harus update dulu. Kembaliin seperti dulu lagi dong",negative
😍,positive
Tugas tidak masuk pasal adlink eror mulu.. Gak kuat ambil jaringan kali ya,negative
Bagus,positive
"Nilai anjlok, keseringan down nih😬",negative
Edlinknya rusak,negative
Keren,positive
Terlalu cepat siklus pembaruan,negative
Ini aplikasi kerasukan. Pas buka kelas malah kluar sndri. Bangke kali,negative
Bnyk tugas hmzzz,positive
Aku ganteng sangat,negative
"abis di update ga bisa download file, nyusahin",negative
Makasih min udah di benerin bug nya. Nih tak kasih bintang 5 semoga performa dan kelancarannya di pertahankan bahkan kalau bisai tingkatin lagi. semoga juga menjadi aplikasi yang bisa di andalkan di segala kondisi,positive
Gg,positive
Oke banget,positive
"Blm bbrpa hri updte eh udah d sruh updte untuk pmbruan baru lagi klo gak d updte gakbsa kebuka dongg, gini amat apknyaa",negative
Sangat bermanfaat,positive
Oke bat dah,positive
"Kenapa aplikasi nya tidak mau dibuka padahal sangat penting untuk perkuliahan saya, tolong perbaiki",negative
Sangat bangus,positive
Kenapa edlink nya tidak mau terdowndlod,negative
"Selalu ada pembaruan, namun bukannya bagus malah gtulah gk ngertii. Gk bisa putar vidio, file yang sudah di download tidak adaaa. Mending edlink yang dulu baguss",negative
Baik,positive
B aja,positive
Ok,positive
Good,negative
Mohon maaf mohon solusinya gimana cara sambukn akun jampus di edlink tpi nama kampusnya tidak muncul,negative
Sangat membantu,positive
BAGUS,negative
Sangat bagus,positive
Baru di update masak mau di update lagi:(,negative
Sangat membantu,positive
Jangan kebanyakkan update lah hp gw kentang nih,negative
Cakep,positive
Menyenangkan bisa sangat membantu,negative
Bgs,positive
"Kek mana sih edlink, diperbarui malah gak bisa2, habis itu aplikasi nya dinhapus lalu di download lagi pun. Enggak bisa2",negative
baik,negative
"Kalo lgi ngrjain quiz terus sinyal ny jelek, jawaban ga msuk jdi nilai quizz kecil. Knp ga msuk saya udh cape2 mikir jwban ga msuk!",negative
"Beberapa kali update tetap saja banyak eror sistem, baik aplikasi maupun web nya kacau",negative
Lumayan mendukung,negative
Mantab,positive
"Halo aplikasi anda bikin sangat lh mengecewakan,saya update ke versi terbaru tiba² error,gimana mau maju pendidikan indonesia ini saat pandemi, sedangkan aplikasi buatan Indonesia aja buruk dan tidak bagus",negative
Bagus,positive
Mantap,positive
Gus..,negative
"Tidak bisa mengunduh materi, tidak bisa di update, mohon di perbaiki 🙏",negative
Bagus,positive
Saya tidak bisa download edlink tulisannya tertunda padahal sinyal saya bagus dan apk saya sudah saya hapus,negative
"Mohon sarannya, kenapa edlinknya tidak bisa di buka",negative
"Setiap hari harus di perbaharui terus ,,,, terus gk bisa upload file lagi,,,",negative
Bgus lancar d efektiv,positive
"Mohon Agar Developer apk nya lebih perhatian ke apklikasi nya,ini emang sistem pengaturan cuma ada 2 saja kah atau gimana,Sering""lah perbaik bug 😐",negative
Tiba-tiba file di semua folder kosong ketika mau menambahkan ke library edlink,negative
Bagus sekali.,positive
Bagus apak nya,positive
Bgs,positive
"Aplikasi ini kadang Lemot, Disaat Download File Tugas yang mau dikirim kenapa bisa lemottt🙄🙆🙆",negative
Apk ini sangat bagus,positive
Amazing,positive
Sangat bgus,positive
Bagus,positive
Good,positive
Sangat baik sekali,positive
Mantap,positive
Baikk,positive
Terlalu banyak update tapi ferporma jelek,negative
Terlalu sering update,negative
Yah,positive
Sya kasih bintang satu karena aplikasi ini hampir tiap saat update tapi tidak ada perubahan yang signifikan ...buruk,negative
Semenjak di upgrade jadi makin susah dan selalu minta diUpgrade terus menerus 👎,negative
Ok.,negative
Suka,positive
makin di update makin lemot,negative
"Update mulu garing, mana sering nge down, kadang banyak error.. Ayo lah lebih baik lagi.",negative
"Aplikasi ini sangat membantu saya tapi saya binggung awalnya ini bisa untuk mengirim file tapi setelah saya update gak bisa lagi ngirim file,gimana ya",positive
"Pas diupdate mo ngumpulin tugas malah ga kesampean ke dosennya. Pas liat di edlink tugasnya dikirim pas beres dedline padahal ngirim tugasnya 3 hari sebelum dedline, sinyal ga ada masalah juga",negative
Kebanyakan update bagus kagak,negative
Kuliah ribet kntl,negative
"Tolong lah , di buat versi lama aja , susah mengirim tugas file nya gak bisa di unduh , selalu lelet kalo buka edlink setelah di instal ke versi baru , versi lama udah bagus kali menurut ku , jan di ganti"" lah tolong",negative
Semenjak ada aplikasi ini dosen lebih aktif memberikan tugas Terimakasih edlin🥰🥰🥰🥰,positive
File buat uplod ke edlink ga bisa dibuka sangat kecewa dan harus mengganggu nilai kecewa sekali,negative
Setelah update jadi ga jelas,negative
"Kenapa update terus yah apk nya ? Padahal baru kemaren di update , sekarang udah update lagi",negative
"Makin rusak aja nih aplikasi. Mau upload dokumen bentuk pdf malah tidak terbaca, dan juga ketika mau membuka lampiran video dari youtube, malah bermasalah sehingga tidak bisa menonton video pembelajaran. Saya tunggu dev nya perbaiki masalah tersebut baru kasi bintang 5",negative
"kok semenjak update,kok gak bisa kirim tugas sih?hapus file di edlink aja gakbisa!!tolong nih di benahi lagi!!",negative
"Saya ketinggalan tugas kuliah Gara-gara edlink tidak bisa menemukan file pdf saya sudah berkonsultasi ke dosen tapi edlink dosen nya tidak kenapa"", Update kali ini edlink sudah bisa digunakan untuk mendownload materi sebelum nya tidak bisa. MOHON SEGERA DIPERBAIKI",negative
kenapa tidak bisa upload file min. dan tidak kebaca semua file di saya,negative
Meresahkan,negative
Serba susah semua nya tiba tiba aplikasi nya lagg ngirim tugas jadi telatt Dah lah,negative
Ini setelah update kenapa jadi tidak bisa kirim file ya? File yang ada tidak bisa di submit. Tolong segera diperbaiki ini sangat menghambat,negative
Knp aplikasinya tidak bisa membaca file documen,negative
"Ini kenapa setelah didownload malah jadi tidak ada di file sih. Login pake akun siakad juga gak masuk2, jangan bikin negthink dong",negative
Bagus sekali,positive
"Setelah di update,kinerja apknya malah menurun👎",negative
Pas update makin rusak,negative
"Barusan udah update, eh malah pas mau ngirim tugas gk bisa, gk kebaca atau gk ditemukan gitu file nya, gmna sih iniiii malah bntar lagi deadline takut terus gini",negative
Selamat malam min Knapa setelah saya update edlink saya tidak bisa mengunduh materi dan tugas ya? Mohon penjelasannya 🙏,positive
Lelet,positive
B aja,negative
Di bagian otomotip selaluh ikut aturan Dan suka membantu sesama,positive
Sering error,negative
"Halo mimin, boleh tanya. Kenapa begitu selesai update aplikasi forum kelasnya tidak muncul , padahal di Edlink web nyata2 ada. Udah saya log out ulang, juga install ulang masih tidak berhasil. Bagaimana ini?",positive
Ini kenapa ya min cmn mengunduh doang tapi hasil unduhan nya gk ada dan gk bs dibuka cmn mengunduh doang tlg di fix kuliah jd gk lancar kbnykn mahasiswa problem hampir sama seperti ini sehabis update,negative
"gajelas, file gabisa kebaca padahal udah ada semua applikasi pembaca, gabisa ngirim tugas",negative
"Banyak bugnya, filenya banyak yang nggak kebaca",negative
"Maaf sebelumnya ni, aplikasi sekarang kurang bagus karena untuk mendownload file tugas sudah susah, tolong diperbaiki",negative
Setelah di update ga jelas,negative
Mantap,positive
"Setelah saya update edlink ke versi terbaru, saya tidak bisa mendownload materi. Saya sudah mengikuti cara yang diberitahu admim yaitu menghapus data aplikasi edlink tapi tetap tidak bisa. Mohon dijawab karena ini penting untuk perkuliahan saya.",negative
"Setelah di update malah makin kacau. Buka materi yg isinya video youtube ga bisa, buka materi yg bentuknya pdf keterangannya di hp gada aplikasi yg bisa buka padahal udh di download dri sblum di perbarui,cuma mau buka aja ga bisa padahal di hp ada beberapa aplikasi bawaan buat buka file pdf",negative
Bagus,positive
"Halo min, kenpa edlink punya saya saat mau mengirim tugas, saat di cek di folder dalam HP mengapa tidak ada filenya yah, padahal filenya ada, seperti tidak terbaca file yang akan di kirim dalam bentuk PDF?",negative
"Habis pembaruan, edlink tidak bisa baca file di hp jadi ga bisa upload file",negative
Di HP Vivo Y21 tidak terbaca file doc dan pdf satu pun di HP saya.,negative
"Kenapa tidak bisa kirim file tugas ya min, file yang ada di media library juga tidak bisa dihapus, file yang ada di dokumen ponsel juga tidak muncul, gimana bisa up min kalo gini??? Mohon dibenarkan ya min apknya, terimakasih",negative
"Kenapaa setelah di-update tidak bisa untuk mengunduh file,mengirim file? Mohon bantuannya",negative
semenjak update saya gk bisa upload tugas,negative
"Tolong ini edlink saya knp tdk bisa buka file apapun selalu mengatakan anda tidak memiliki aplikasi apapun untuk membuka file ini silahkan cari di play store, udah banyak pasang aplikasi file smang tetap bisa itu gimana ini klo ada file penting🥺, klo sistem itu baik baru aku ganti bintangnya",negative
"Mohon maaf, kenapa di saya matakuliah akademiknya kosong ya. Saya jadi gk bisa ngirim tugas 🙏",negative
"Halo min. Mau bertanya ini kenapa ya edlink saya tidak bisa buat mengunduh file. Ada pemberitahuan sudah terunduh tapi saya cek tidak ada unduhan. Sebelumnya ada peringatan perbarui edlink, setelah saya perbarui jadi gak bisa buat ngunduh. Mohon bantuannya min🙏",positive
"Untuk update terbaru knp pas mau unduh materi dan soal tugas ada bacaan download perangkat yg bisa membaca pdf dll, sedangkan saya sudah ada WPS yg bisa membaca pdf dll. Saya juga sudah mencoba apk lain dapat membaca pdf dll tpi ttp tidak mau ter unduh.",negative
Ini knp si min . Udh di instal ulang di copot di pasang lagi tapi gk bisa download materi astaga,negative
"Min, kenapa ini saya tidak bisa ngirim tugas bentuk file?",negative
"Ini kenapa ya, mau kirim tugas kok tidak bisa? Padahal filenya di dokumen, tapi mau kirim tugas gak bisa . Harus pakai laptop baru bisa? Sebelum di perbarui tidak seperti ini. Terimakasih",negative
"Admin kenapa ya,saya ini sudah sinkronisasi kelas sejak lama tapi semenjak di update edlink nya sekarang saya tidak bisa melihat matkul di kelas akademik atau kosong padahal saya sudah sinkronisasi kelasnya,jadi gimana ini maksudnya?",negative
"Setelah diperbarui kenapa gabisa buat ngirim tugas sih, tugas ga kekirim kirim help me",negative
"Saya gak bisa download file dan buka file , juga upload file tugas , gimana solusinya yaa ?",negative
"Ka , tugas atau materi saya tidak bisa dibuka padahal sebelumnya bisa dibuka",negative
Eror lg kyny ni,negative
Gak bisa nambah file rar zip psd ai server suka down,negative
"Min kok kelas saya gak ada,, gimana saya mau absen dikelas kalo kelas saya ilang semua",negative
Memudshkan pelajaran,positive
"suka bingung kalo di laptop berkas hasil downloadan nya pergi kemana? di cari cari kga ada ada, ada yg bisa langsung minta save, tpi kebanyakan bacaannya doang terunduh tpi berkasnya gatau kemana",negative
Habis di update masuknya lelet,negative
Bagus,positive
Mantap aplikasi nya,positive
di perbaharui terus. memori full😪,positive
Admin kenapa saya tidak masuk dalam daftar anggota saya padahal tugas banyak disitu dan forum2 nya juga tidak muncul dalam kelas admin gimana ini saya kena imbasnya sama dosen,negative
Keren,positive
payah ngerjain kuis dileptop gabisa diklik mana ngejar deadline,negative
Oke,positive
Terimakasih,positive
"Halo min mau tanya , saya kok gabisa up tugas karena sudah penuh kapasitasnya , lalu saya mau hapus tugas lama juga tidak bisa , jadinya saya gabisa ngirim tugas , tolong kasi sarannya ya biar bsa up tugas lagi , makasi min",negative
Mengapa file PDF nya tidak mau di unduh dan tidak bisa di buka mohon bantuannya min soalnya itu materi pnting dari dosen?,negative
Bagus,positive
Tidak bisa mengganti foto profil,negative
Mohon maaf kok tidak bisa di download yah,negative
"Tolong untuk edlink web nya diperbaikin dong, sekarang di edlink web kita tidak masuk kelas akademik, dan juga mengumpulkan tugas",negative
Tdk mau di updete,negative
Jaringan lelet dikit aja unduh materi gabisa :(,negative
Aplikasi tidak jelas,negative
Sudah nyaman tapi loding,positive
GOOD,positive
Baik,positive
Tidak mendapatkann kode verifikasi di email untuk mendaftar.,negative
This app is good,positive
ngga bisa didwonload knpa ya,negative
Kok prodi saya bisa kosong ya bu Imi kenapa ya Prodi PGSD,negative
Baikk,negative
"Mohon arahan terjadi masalah pada pendaftaran akun baru edlink, untuk pengiriman Kode Verifikasi melalui E-mail tidak bisa semua",negative
Aplikasi rusak 👍🏻,negative
"Tolong perbaiki ya, mau buat akun kendala nya ada di kode verifikasi yang gak terkirim ke email. Terima kasih",negative
"Kode verifikasi tidak masuk, sudah saya kirim beberap kali tetep aja. Susah untuk daftar. Sudah beberapa email yang saya pakai tetep saja sulit",negative
Tolong jelasin min untuk daftar ke edlink tidak ada pesan masuk kode verifikasinya dan ketika langsung lanjutkan dengan akun google malah langsung keluar dari apk edlink??,negative
Kok punya saya bahas Inggris ya..tolong perbaiki mas/mbak,negative
Bagus semangat ya mengembangkan aplikasi nya semoga semakin baik baik dan kaya 😆😆😆,positive
"Diperbaiki lagi kualitasnya, kadang notifikasinya jarang muncul, jadi banyak tugas saya yang nggak dikumpul Karena notifikasi",negative
Mantap,negative
"Penyimpanan opsional terlalu dikit, semoga kedepannya bisa di tingkatkan lagi,untuk UI tampilan sudah bagus dan mudah di pahami,tapi masih ada problem error² ketika membuka aplikasi ini , Semoga kedepannya penyimpanan dan masalah error' di fix Terimakasih",positive
Agak ribet aplikasi nya buat agar lebih mudah dan tampilan nya juga di rapihin lagi okeh 😂😄😃😀☺️👍,negative
Bagus dan terus tingkatkan agar lebih baik,positive
Good,positive
855y km,positive
Ok,positive
Kok Edlink gak bisa scroll kebawah mau liat nilai dan dan lain2nya🤔,negative
Good,positive
Ed link,positive
Ga bisa ganti Poto profil,negative
Kenapa saya tidak bisa buka ediling web maupun edling aplikasi koneksi saya aja stapil di situ keretangan nya mohon priksa koneksi ada kurang stabil,negative
Min kenapa ini apknya ngelag2 ya ?,positive
Kok ga bisa masuk. Stuck di logo doang,negative
sangat baik,positive
Mantap,positive
"Mohon kpda Edlink, Tolong saya Di Tanggapi, Kenapa saya tidak bisa ganti nama user (profil) setelah saya simpan tidak bisa diterapkan malah muncul notifikasi ( vaildation.digits.beteen ) ad solusinya atau gimana?",negative
pengen tau,negative
Knp akun edlink saya menggunakan akun siakad tidak bisa masuk,negative
Sangat membantu apk in,positive
"Kalau absen scan code qr nya harus pakai 2 hape, dan harus scan saat itu juga kalo lewat 2 menit aja udah ga bisa absen. Jujur cukup sulit buat pake apk ini, but tetep mau Belajar soalnya kuliah wajib pake apk ini buat akses. Hape ga spek jadi susahh 😢",negative
"Kenapaa gk bisa di download apk nya ya,,",positive
"Min , tutorial hapus akun edlink bagaimana ya ? Soalnya saya sudah ada akun tetap & ingin mentautkan akun ini . Tolong di jawab min trims",positive
"Gak bisa absen qr sementara teman"" yang lainnya bisa.",negative
Lumyan,negative
"Apa edlink menggunakan firebase? Jika tidak, database apa yang digunakan edlink? Bintang 5 setelah ada jawaban pasti.",negative
Good,positive
"Ini aplikasi nya gk sinkron sama yang di web,tolong dibenerin lagi",negative
"Kenapa sekarang susah untuk masuk ke edlink Saya sudah beberapa kali mencoba tetap tidak bisa masuk , sudah kasih masuk no. Hp tetap tidak bisa masuk",negative
"Maaf aplikasi EdLink menurut saya tidak recomended untuk proses pembelajaran, karena suka error dan finally, dosen kembali menggunakan G.Classroom juga",negative
Bug,negative
Kenapa kak edlink nya tidak bisa di buka sebenarnya saya sudah mendownloadnya tapi tidak tetap tidak bisa dibuka jadi harus bagaimana lagi gak kak cara membuka edlink ini.,negative
Membantu dan memudahkan proses pembelajaran,positive
Baru liat ulasan org orang aja dah males buat download 😭 Diperbaiki lagi sistemnya biar enak dipake☺️🙏,negative
Bagus,positive
GOOOOOOOOOOOOOOOOOOD,positive
"Kenapa ya saya gabisa buka edlink, minta di update eh pas udh di update malah balik lg kya awal gabisa dibuka",positive
Aplikasinya sangat membantu,positive
Terbaik,positive
"Halo, selamat siang,aku mau nanya kenapa ya edlink nya nggak bisa diperbarui ulang🙏☺️",positive
"Ngilangin getar nya gmna jir, jantung ga tenang kalo ada notifikasi jadinya, kalo notif notif aja maksudnya bisa ga min",negative
"kak kenapa yah foto profilnya gak bisa di ubah, gak ada tulisan Save nya gitu. makasih",negative
Knp nda bisa terupdate 😩,positive
👍,positive
Kurang mendukung butuh Perbaiki lgai Makasihhhh,positive
Kenapa Apk ga bisa di download kk,negative
"Kenapa ya tidak ada tugasnya padahal guru sudah kirim tugas? Notif tugas dri kelas nya ada tapi pas dibuka tidak bisa, blank halaman kosong saja. Sudah uninstall trus login lagi tetap gaada, gimana ya?",negative
Minta d perbarui mulu,negative
Mayan nih apk,negative
